dt_distr,train_distr,test_distr,seed,act,prd,est,absolute_error,nkld
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],11,[ 391.  391.  391. 1957.  391.    0.  391.],[ 770.  390.  311. 1469.   98.  661.  213.],[ 769.  390.  311. 1469.   98.  661.  213.],0.07592024539877301,0.03034592265123548
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],42,[ 391.  391.  391. 1957.  391.    0.  391.],[   0.  390.   32. 1974. 1482.    2.   32.],[   0.    0.  646.  712. 1097.    0.    0.],0.12339322231960269,0.5672738737828544
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],73,[ 391.  391.  391. 1957.  391.    0.  391.],[9.510e+02 3.890e+02 6.400e+01 2.009e+03 1.130e+02 1.000e+00 3.850e+02],[ 951.  389.   64. 2009.  113.  628.  384.],0.06770376862401402,0.0009027883401735437
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],34,[ 391.  391.  391. 1957.  391.    0.  391.],[ 912.  390.  104. 1758.   53.    0.  695.],[ 912.  390.  104. 1758.   53.  390.  695.],0.07449605609114812,-0.02873759579512991
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],25,[ 391.  391.  391. 1957.  391.    0.  391.],[ 140.  391.  533. 1990.  819.    0.   39.],[ 354.  313.  550. 1581.  286.    0.  509.],0.031879929886064855,-0.01317951782428628
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],96,[ 391.  391.  391. 1957.  391.    0.  391.],[  83.  389.  554. 1937.  949.    0.    0.],[  83.  389.  554. 1937.  950.  934. 1261.],0.10429447852760736,-0.05845100334270126
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],57,[ 391.  391.  391. 1957.  391.    0.  391.],[ 988.  390.    0. 1900.   56.  236.  342.],[ 729.   57.   57. 1533.  153.  441.  322.],0.07953549517966696,0.00970253315380587
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],88,[ 391.  391.  391. 1957.  391.    0.  391.],[   2.  393.  829. 1564.  367.    0.  757.],[   2.  393.  829. 1563.  366.  654.  757.],0.08282208588957055,-0.033003905654308996
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],50,[ 391.  391.  391. 1957.  391.    0.  391.],[1204.  390.   18.  331.    0. 1962.    7.],[1206.  390.   18.  331.    7. 1961.    7.],0.20245398773006135,0.19837175429488485
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],31,[ 391.  391.  391. 1957.  391.    0.  391.],[2.000e+00 3.890e+02 5.830e+02 2.264e+03 4.570e+02 5.000e+00 2.120e+02],[ 375.  136.  324. 1999.  283.    0.  124.],0.0275708442886357,0.057329012937892276
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],11,[1252.  313.  626.  156.  313.  313.  156.],[   5.  314.  979.  530. 1273.    3.   25.],[   5.  314.  979.  530. 1273.   25.   25.],0.15312970825914257,0.8115204592129117
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],42,[1252.  313.  626.  156.  313.  313.  156.],[888. 217. 904. 107. 892.  98.  23.],[ 254.    0.  272.   43.  497.    0. 1200.],0.15153175364105373,0.9255550104312338
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],73,[1252.  313.  626.  156.  313.  313.  156.],[941. 237. 702. 103. 663.  82. 401.],[946. 159. 714. 101. 625. 159. 361.],0.058165548098434,0.06590077832161634
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],34,[1252.  313.  626.  156.  313.  313.  156.],[  35.  277.  820.  326. 1366.  302.    3.],[2157.  277.  821.  326. 1365.  302.  464.],0.12222070036068118,-0.24234086396559862
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],25,[1252.  313.  626.  156.  313.  313.  156.],[2.189e+03 3.160e+02 1.600e+01 6.000e+01 2.000e+00 5.460e+02 0.000e+00],[1197.    0.  184.    0.    0.  113.  198.],0.06944254211751814,0.9402687060887316
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],96,[1252.  313.  626.  156.  313.  313.  156.],[1302.  314.  644.  383.  285.   26.  175.],[976. 234. 486. 380. 405. 479. 575.],0.06373556133862941,0.0008110401745979878
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],57,[1252.  313.  626.  156.  313.  313.  156.],[1786.  313.  379.  293.  168.   14.  176.],[4.760e+02 3.100e+01 3.150e+02 6.300e+01 1.343e+03 1.000e+00 9.140e+02],0.16262612427521345,0.5160284683282814
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],88,[1252.  313.  626.  156.  313.  313.  156.],[ 606.  312. 1084.   38. 1089.    0.    0.],[ 606.  312. 1085.   38. 1090. 2228. 2228.],0.27338720723188603,-0.1009899779643757
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],50,[1252.  313.  626.  156.  313.  313.  156.],[ 418.  316. 1225.  360.  370.    0.  440.],[ 444.  268. 1098.  288.  543.  349.  201.],0.0807195361366023,0.10397868598719184
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.4  0.1  0.2  0.05 0.1  0.1  0.05],31,[1252.  313.  626.  156.  313.  313.  156.],[1938.  313.   69.  231.  379.    0.  199.],[1462.    0.    0.    0.  423.    0.    0.],0.08601561429941104,0.9963415241549931
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],11,[335. 447. 335. 223. 447. 223. 223.],[476. 446. 296. 740.  70.   1. 204.],[476. 446. 296. 739.  70.   1. 204.],0.08412769496513339,0.36561013000637943
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],42,[335. 447. 335. 223. 447. 223. 223.],[376.   3. 345. 603. 531.  88. 287.],[318. 485. 286. 556. 472.  74. 229.],0.03947284242850745,0.010292129215007773
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],73,[335. 447. 335. 223. 447. 223. 223.],[750. 447. 468. 242. 306.  16.   4.],[586. 158. 428.   0.  24.   0. 953.],0.1427931674237093,0.9040202645903022
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],34,[335. 447. 335. 223. 447. 223. 223.],[133. 433. 581. 174. 152. 743.  17.],[106.   0. 173.   0. 188. 353.   0.],0.1070309001343484,0.9915571353509187
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],25,[335. 447. 335. 223. 447. 223. 223.],[ 572.    0.  101. 1547.   13.    0.    0.],[ 342. 1264.  192.  694.    0.    0.    0.],0.14912673533363188,0.9840433379868159
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],96,[335. 447. 335. 223. 447. 223. 223.],[1.279e+03 4.460e+02 7.200e+01 2.290e+02 0.000e+00 2.060e+02 1.000e+00],[926.   0. 271.   0.  66.   4.   0.],0.13741923101529013,0.993512737467763
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],57,[335. 447. 335. 223. 447. 223. 223.],[603. 447. 154. 485. 134.   0. 410.],[228.  74. 142. 160. 263. 108. 846.],0.10607126863284498,0.30275246515191934
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],88,[335. 447. 335. 223. 447. 223. 223.],[607. 447.  28. 681.   0. 334. 136.],"[ 3.700e+01 -1.600e+01 -1.000e+00  6.700e+01  2.380e+03  3.530e+02
  1.785e+03]",0.31207216428891305,nan
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],50,[335. 447. 335. 223. 447. 223. 223.],[ 14. 440. 329. 545. 894.   0.  11.],[ 11. 440. 328. 545. 894. 394.  11.],0.09532339581600666,0.2610763873699953
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.15 0.2  0.15 0.1  0.2  0.1  0.1 ],31,[335. 447. 335. 223. 447. 223. 223.],[1.062e+03 3.030e+02 7.300e+01 5.930e+02 2.000e+02 1.000e+00 1.000e+00],[771.   0. 135. 248. 231.   0.   0.],0.11323651717740388,0.9889935342857674
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],11,[1230.  205.  205.  205.  205.  205. 1845.],[ 932.  208.  158. 1888.  246.   10.  658.],[  0.   0.   0. 575.   0.   0. 683.],0.12480836236933798,0.9982641298462063
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],42,[1230.  205.  205.  205.  205.  205. 1845.],[2104.  204.  183.  653.    0.  925.   31.],[1816.    0. 1241.    9.    0.   46.    0.],0.14745644599303137,0.9991300264754104
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],73,[1230.  205.  205.  205.  205.  205. 1845.],[1604.  203.  374.  285.    0.  217. 1417.],[1137.    0.  791.    0.  838.  169.  691.],0.10146341463414635,0.6528060495215839
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],34,[1230.  205.  205.  205.  205.  205. 1845.],[1303.  205.   81. 1514.  158.    0.  839.],[935.   0. 216. 809. 500.   0. 759.],0.09411149825783972,0.6610113671747215
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],25,[1230.  205.  205.  205.  205.  205. 1845.],[3145.  203.    0.  752.    0.    0.    0.],[3144.  203. 3763.  751.  849.  486.  758.],0.2798606271777003,-0.1023337941099608
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],96,[1230.  205.  205.  205.  205.  205. 1845.],[   0.  202.  921. 1550.    0.  731.  696.],[ 679.  202.  921. 1550.  246.  731.  696.],0.15090592334494773,0.1822998045324733
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],57,[1230.  205.  205.  205.  205.  205. 1845.],[1405.  206.  403.  428.    0.  544. 1114.],[1320.    0.  820.  116. 1124.  238.  687.],0.10832752613240418,0.42252327761094133
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],88,[1230.  205.  205.  205.  205.  205. 1845.],[1.126e+03 2.070e+02 6.130e+02 1.200e+01 5.000e+00 2.135e+03 2.000e+00],[1.126e+03 2.070e+02 6.130e+02 1.200e+01 5.000e+00 2.136e+03 5.710e+03],0.23355400696864112,-0.16192876244831944
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],50,[1230.  205.  205.  205.  205.  205. 1845.],[2418.  206.   23.  542.  231.    0.  680.],[435.   0.   0.   8.   8.  48.  16.],0.12491289198606272,0.9663622458876953
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.3  0.05 0.05 0.05 0.05 0.05 0.45],31,[1230.  205.  205.  205.  205.  205. 1845.],[ 722.  205.  723.  473.  182.   68. 1727.],[708. 193. 679. 414. 323. 146. 961.],0.07937282229965156,0.17878053771610491
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],11,[ 92. 460. 184. 276. 184. 552.  92.],[ 49. 458. 248. 847. 139.  32.  67.],[ 83. 318. 203. 708.  72.   0.  63.],0.10054347826086957,0.9649159563476022
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.05 0.25 0.1  0.15 0.1  0.3  0.05],42,[ 92. 460. 184. 276. 184. 552.  92.],[251. 460.  18. 586. 114. 227. 184.],[218. 392.  15. 503. 192. 209. 200.],0.08144409937888199,0.20015965583904838
