dt_distr,train_distr,test_distr,seed,bins,act,prd,est,absolute_error,nkld
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],11,10,[ 391.  391.  391. 1957.  391.    0.  391.],[ 605.  391.  518. 2073.   49.   85.  191.],[ 641  310  411 1645  279  366  260],0.04645048203330412,0.020388040719138134
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],11,20,[ 391.  391.  391. 1957.  391.    0.  391.],[ 872.  390.  243. 2028.    0.  127.  252.],[ 940  274  806 1281  208  260  143],0.08939526730937773,0.05022513815822571
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],11,30,[ 391.  391.  391. 1957.  391.    0.  391.],[ 543.  390.  348. 2233.  148.   34.  216.],[168 134 155 526  66 155 115],0.10601080923166813,0.06108135501559708
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],11,40,[ 391.  391.  391. 1957.  391.    0.  391.],[ 460.  391.  608. 2137.    0.  118.  198.],[ 513  281  568 1536  231  440  343],0.0539731229915279,0.006545414079013767
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],11,50,[ 391.  391.  391. 1957.  391.    0.  391.],[ 419.  391.  672. 2026.   22.   90.  292.],[ 509  323  473 1633  141  473  360],0.049152789950335965,0.004128041436105789
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],11,60,[ 391.  391.  391. 1957.  391.    0.  391.],[ 561.  390.  470. 2172.   88.    0.  231.],[ 488  332  370 1776  240  465  241],0.04104586619924043,0.02417844821557158
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],11,70,[ 391.  391.  391. 1957.  391.    0.  391.],[ 494.  390.  392. 2197.  144.    0.  295.],[201 158 184 644  78 184 119],0.09903593339176162,0.059378859780971016
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],11,80,[ 391.  391.  391. 1957.  391.    0.  391.],[ 549.  391.  492. 2020.    3.  253.  204.],[ 584  363  465 1860  136  352  152],0.04520888109845165,0.047182141518781195
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],11,90,[ 391.  391.  391. 1957.  391.    0.  391.],[ 450.  402.  690. 2205.    0.    0.  165.],[ 508  369  598 1774   35  464  164],0.057551855097867366,0.04339258129416734
[0.1 0.9],[0.2  0.3  0.2  0.15 0.05 0.05 0.05],[0.1 0.1 0.1 0.5 0.1 0.  0.1],11,100,[ 391.  391.  391. 1957.  391.    0.  391.],[ 528.  391.  461. 2060.   58.  183.  231.],[122  94 112 378  49 112  74],0.11667397020157756,0.08299819626833038
